CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Point Earned
0.757,0.33,0.5,0.30901288,0.25,1.0,0.97119815,0,0.6,0.582
0.416,0.41,1.0,0.48875864,0.5,0.0,0.49150805000000003,0,0.6,0.281
0.665,0.34,0.1,0.38658215999999995,0.5,0.0,0.8570683,0,0.6,0.798
0.777,0.32,0.2,0.0,0.25,0.0,0.6822909500000001,1,1.0,0.917
0.543,0.36,0.3,0.0,0.5,0.0,0.13009795,0,0.4,0.255
0.506,0.34,0.4,0.36123047999999996,0.25,1.0,0.79617645,0,0.8,0.511
0.493,0.46,0.4,0.0,0.5,0.0,0.0095383,0,0.2,0.498
0.652,0.75,1.0,0.0,0.5,1.0,0.57337875,0,1.0,0.651
0.75,0.22,0.3,0.48672728000000004,0.25,0.0,0.64321675,1,0.4,0.852
0.729,0.3,0.9,0.0,0.5,0.0,0.7593467500000001,0,0.2,0.807
0.646,0.46,0.4,0.0,0.75,0.0,0.4662571,1,0.6,0.47
0.635,0.28,0.3,0.32649468,0.5,1.0,0.7839567999999999,0,0.2,0.659
0.647,0.44,0.5,0.0,0.75,1.0,0.8710261,1,0.6,0.752
0.808,0.45,0.7,0.4745062,0.5,0.0,0.7356623,0,0.2,0.559
0.524,0.36,1.0,0.0,0.5,0.0,0.5480728500000001,0,0.4,0.375
0.769,0.29,0.8,0.0,0.5,1.0,0.8614530499999999,0,0.4,0.411
0.73,0.42,0.4,0.0,0.5,1.0,0.42991235,0,0.8,0.722
0.515,0.35,1.0,0.7050958,0.25,1.0,0.6063889,0,0.2,0.231
0.773,0.41,0.9,0.41130976,0.25,1.0,0.32297625,0,1.0,0.488
0.814,0.29,0.8,0.38834559999999996,0.5,1.0,0.98638065,0,0.4,0.965
0.71,0.22,0.8,0.0,0.5,0.0,0.4982252,0,0.8,0.289
0.413,0.34,0.9,0.0,0.5,0.0,0.0326709,0,0.2,0.449
0.665,0.4,0.6,0.0,0.25,1.0,0.80924015,0,0.4,0.651
0.623,0.44,0.6,0.0,0.5,0.0,0.83581215,0,0.4,0.52
0.738,0.31,0.9,0.33069659999999995,0.25,0.0,0.2098536,0,0.8,0.234
0.528,0.36,0.7,0.0,0.5,0.0,0.3026828,0,1.0,0.458
0.67,0.65,0.1,0.0,0.25,1.0,0.8882783999999999,1,0.4,0.915
0.622,0.46,0.4,0.42829308,0.5,1.0,0.15492295,1,0.6,0.299
0.582,0.32,0.1,0.35575448,0.25,1.0,0.05027265,0,0.8,0.838
0.785,0.36,0.2,0.3992274,0.25,1.0,0.18488259999999998,0,1.0,0.786
0.605,0.33,0.5,0.6003712,0.25,0.0,0.35931395,0,0.6,0.509
0.479,0.35,0.9,0.37133556,0.25,0.0,0.4972493,1,0.6,0.328
0.685,0.3,0.3,0.36214724,0.25,1.0,0.3154144,0,0.8,0.347
0.538,0.39,0.7,0.4322204,0.5,0.0,0.13615629999999998,0,1.0,0.534
0.562,0.42,0.2,0.4009534,0.25,0.0,0.43398705000000004,0,1.0,0.709
0.675,0.36,0.9,0.42476220000000003,0.25,1.0,0.1149716,0,0.8,0.749
0.721,0.28,0.9,0.61790216,0.5,1.0,0.5065047,1,1.0,0.541
0.628,0.3,0.9,0.52940516,0.5,1.0,0.37084565,0,0.4,0.736
0.668,0.37,0.6,0.6714576,0.25,0.0,0.5781914499999999,0,0.8,0.529
0.506,0.41,0.1,0.0,0.5,0.0,0.1588315,0,0.8,0.594
0.524,0.31,0.8,0.43127452,0.25,0.0,0.9986269500000001,1,0.2,0.462
0.699,0.34,0.4,0.74069524,0.5,0.0,0.6041723999999999,0,0.6,0.429
0.828,0.34,0.8,0.51773336,0.5,0.0,0.19065885,0,0.8,0.37
0.674,0.39,0.6,0.48077368,0.25,0.0,0.50065475,0,0.2,0.51
0.656,0.39,0.6,0.0,0.5,0.0,0.7053494,0,0.8,0.638
0.684,0.48,1.0,0.50553768,0.25,1.0,0.9906467999999999,0,0.2,0.462
0.625,0.28,0.3,0.0,0.25,0.0,0.91823205,0,0.8,0.718
0.432,0.42,0.9,0.6104138,0.25,0.0,0.5513262,1,0.6,0.437
0.549,0.52,0.1,0.0,0.25,1.0,0.043180249999999996,1,0.8,0.485
0.625,0.56,0.0,0.5940289599999999,0.25,0.0,0.2341204,1,0.6,0.41
0.828,0.41,0.7,0.0,0.5,0.0,0.85689385,0,0.4,0.666
0.77,0.24,0.9,0.40730828,0.25,0.0,0.83628175,0,0.8,0.73
0.758,0.34,0.3,0.0,0.5,1.0,0.6211308,0,0.4,0.375
0.795,0.33,0.9,0.52344972,0.25,1.0,0.57467605,0,1.0,0.411
0.687,0.38,0.9,0.49028348,0.25,1.0,0.1780444,0,0.8,0.595
0.686,0.25,0.1,0.0,0.5,1.0,0.08229684999999999,0,0.2,0.578
0.789,0.39,0.7,0.49931384,0.5,1.0,0.6220554,0,0.4,0.377
0.589,0.5,0.5,0.5795802,0.5,1.0,0.17470615,0,0.4,0.831
0.461,0.34,0.5,0.25465572,0.25,1.0,0.8389214,0,0.2,0.497
0.637,0.4,0.2,0.5338524,0.25,1.0,0.4658267,0,0.2,0.374
0.584,0.48,0.2,0.8525848,0.25,0.0,0.37580625,1,0.8,0.814
0.579,0.35,0.1,0.51796144,0.5,1.0,0.042954149999999997,1,0.8,0.247
0.756,0.44,1.0,0.54980836,0.25,0.0,0.9477194999999999,0,1.0,0.965
0.663,0.34,0.7,0.0,0.5,1.0,0.9021361999999999,0,0.6,0.912
0.682,0.43,0.5,0.50340772,0.25,1.0,0.9665916499999999,0,0.8,0.462
0.793,0.52,0.2,0.0,0.25,0.0,0.7956191,1,1.0,0.883
0.691,0.31,0.5,0.1636622,0.25,0.0,0.6310692,1,0.4,0.402
0.485,0.21,0.5,0.45262888,0.25,1.0,0.2707075,0,0.8,0.764
0.635,0.29,0.8,0.55318776,0.5,0.0,0.70537755,0,0.2,0.608
0.65,0.37,0.5,0.42786872,0.25,0.0,0.12247514999999999,0,1.0,0.652
0.735,0.44,0.9,0.48272652,0.25,0.0,0.3741817,0,0.4,0.52
0.416,0.32,0.0,0.0,0.5,1.0,0.00439435,0,1.0,0.884
0.754,0.32,0.7,0.0,0.5,0.0,0.44760375,0,0.2,0.8
0.535,0.48,0.9,0.0,0.25,0.0,0.74946395,1,0.8,0.697
0.716,0.42,0.8,0.0,0.5,0.0,0.9040021,0,0.4,0.427
0.539,0.37,0.2,0.51043836,0.25,0.0,0.49323110000000003,0,0.2,0.62
0.614,0.43,0.6,0.0,0.5,1.0,0.54520765,0,0.2,0.318
0.706,0.57,0.7,0.0,0.25,0.0,0.0897058,1,0.2,0.701
0.758,0.33,0.7,0.0,0.5,0.0,0.41498235,0,0.8,0.953
0.586,0.28,0.2,0.0,0.5,1.0,0.46033675,0,1.0,0.635
0.646,0.73,0.6,0.389037,0.25,1.0,0.5235983000000001,0,0.2,0.25
0.631,0.33,0.4,0.4929868,0.25,0.0,0.56343785,0,0.6,0.662
0.717,0.22,0.6,0.404241,0.25,1.0,0.4234978,0,0.4,0.666
0.684,0.3,0.2,0.0,0.5,0.0,0.41736910000000005,0,0.8,0.699
0.8,0.49,0.7,0.43202944,0.25,0.0,0.23562555,0,0.6,0.855
0.721,0.36,0.2,0.0,0.5,1.0,0.5348890000000001,0,1.0,0.534
0.683,0.29,0.0,0.5348115600000001,0.25,0.0,0.2779127,1,0.2,0.388
0.66,0.31,0.9,0.500759,0.5,1.0,0.69937215,0,1.0,0.612
0.704,0.24,0.7,0.45213688,0.25,0.0,0.8125174000000001,1,0.4,0.801
0.615,0.41,0.9,0.43605292,0.25,0.0,0.9824997999999999,0,0.2,0.561
0.667,0.39,0.2,0.0,0.5,0.0,0.2036062,1,1.0,0.308
0.682,0.24,0.9,0.23171924,0.5,0.0,0.2656715,0,1.0,0.643
0.484,0.29,0.4,0.52045756,0.25,0.0,0.8200894500000001,0,0.2,0.249
0.628,0.27,0.5,0.38330596,0.5,0.0,0.7799847999999999,0,0.4,0.818
0.48,0.44,1.0,0.51843428,0.25,0.0,0.0273635,1,0.2,0.775
0.578,0.3,0.4,0.67784836,0.25,0.0,0.56093555,0,1.0,0.872
0.512,0.4,0.5,0.0,0.5,1.0,0.7322891499999999,0,0.6,0.435
0.484,0.35,0.7,0.53547284,0.25,1.0,0.13643049999999998,0,0.4,0.415
0.51,0.3,0.0,0.0,0.5,1.0,0.65276735,0,0.4,0.43
0.606,0.36,0.5,0.76191792,0.5,0.0,0.8967594500000001,0,1.0,0.929
0.597,0.4,0.8,0.40797247999999997,0.25,1.0,0.4738706,0,1.0,0.681
0.754,0.55,0.3,0.64643524,0.25,0.0,0.04040425,1,0.8,0.81
0.85,0.45,0.2,0.48924484,0.25,1.0,0.0974125,0,1.0,0.739
0.51,0.65,0.2,0.0,0.5,1.0,0.24035805,0,0.2,0.28
0.778,0.45,0.1,0.6486016800000001,0.5,0.0,0.87265635,0,0.4,0.25
0.636,0.42,0.2,0.0,0.5,1.0,0.2773539,0,0.8,0.991
0.804,0.5,0.4,0.0,0.25,1.0,0.042734350000000004,1,0.4,0.482
0.514,0.32,0.8,0.0,0.5,0.0,0.4792859,0,0.8,0.423
0.73,0.39,0.1,0.39604268,0.25,0.0,0.974729,0,1.0,0.26
0.525,0.37,0.0,0.0,0.25,1.0,0.6576086,0,1.0,0.642
0.616,0.3,0.5,0.0,0.5,1.0,0.98054255,0,0.8,0.701
0.687,0.34,0.7,0.44555271999999996,0.5,0.0,0.7428238,0,0.8,0.57
0.715,0.41,0.8,0.2248594,0.5,0.0,0.46491305,1,0.8,0.79
0.512,0.36,0.3,0.33731108000000004,0.5,0.0,0.0883768,0,1.0,0.727
0.479,0.4,0.1,0.0,0.5,0.0,0.57498215,0,0.6,0.909
0.601,0.32,0.8,0.37205156,0.25,0.0,0.4347871,0,0.4,0.799
0.58,0.29,0.9,0.24684176000000002,0.5,0.0,0.640389,0,0.2,0.52
0.807,0.35,0.3,0.6991606,0.25,1.0,0.0030018,0,0.6,0.861
0.616,0.32,0.6,0.0,0.5,1.0,0.21500729999999998,0,1.0,0.512
0.721,0.37,0.3,0.43088255999999997,0.25,1.0,0.7929556,0,0.2,0.478
0.501,0.57,1.0,0.0,0.5,1.0,0.23923595,0,1.0,0.374
0.521,0.35,0.6,0.38569536,0.25,0.0,0.0524422,0,0.8,0.28
0.85,0.3,0.2,0.5641600400000001,0.25,1.0,0.029890999999999997,0,0.4,0.615
0.759,0.42,0.4,0.42168071999999995,0.25,1.0,0.6070453,0,0.6,0.435
0.516,0.5,0.5,0.0,0.25,1.0,0.73072965,1,1.0,0.509
0.711,0.38,0.2,0.51608824,0.5,1.0,0.0718743,1,0.8,0.321
0.512,0.33,0.3,0.70666648,0.25,0.0,0.47335385,0,0.2,0.726
0.55,0.37,0.3,0.0,0.25,1.0,0.89835155,0,0.6,0.516
0.608,0.41,0.3,0.35905536,0.25,0.0,0.9965236999999999,1,0.6,0.639
0.618,0.34,0.5,0.53981812,0.25,1.0,0.7597719500000001,0,0.4,0.512
0.643,0.45,0.5,0.0,0.25,0.0,0.7125675,1,0.6,0.73
0.671,0.45,0.2,0.42550740000000004,0.25,1.0,0.7913231,0,0.6,0.244
0.689,0.33,0.2,0.64725856,0.5,0.0,0.8469095,0,0.6,0.292
0.603,0.31,0.8,0.0,0.5,1.0,0.8495750999999999,0,0.6,0.245
0.62,0.41,0.9,0.0,0.5,0.0,0.44426235000000003,0,0.6,0.848
0.676,0.34,0.1,0.25238004,0.25,1.0,0.20322905,0,0.6,0.974
0.572,0.26,0.4,0.47314804,0.5,0.0,0.30213650000000003,0,0.8,0.958
0.668,0.47,0.7,0.42741684,0.25,1.0,0.7897951,1,0.6,0.629
0.695,0.46,0.7,0.1980502,0.25,0.0,0.6650367,0,0.6,0.31
0.73,0.33,0.9,0.0,0.5,0.0,0.8828831,0,0.2,0.621
0.807,0.43,0.1,0.42319728,0.5,0.0,0.17444020000000002,1,0.8,0.924
0.592,0.54,0.8,0.0,0.25,1.0,0.14368855,1,0.4,0.359
0.726,0.31,0.9,0.4588882,0.5,1.0,0.49089285000000005,0,1.0,0.811
0.514,0.3,0.7,0.0,0.25,1.0,0.6250512,0,0.8,0.583
0.567,0.42,0.2,0.0,0.5,1.0,0.8399230499999999,0,1.0,0.959
0.85,0.33,1.0,0.0,0.25,0.0,0.0243086,1,0.2,0.359
0.671,0.45,0.6,0.39825688,0.25,1.0,0.5443622499999999,1,0.6,0.901
0.67,0.37,0.4,0.68223164,0.5,0.0,0.9912644,0,1.0,0.729
0.694,0.3,0.9,0.0,0.5,1.0,0.13480155000000002,0,1.0,0.829
0.547,0.39,0.6,0.2983846,0.75,1.0,0.4287326,1,0.8,0.79
0.751,0.5,0.2,0.38755356,0.25,0.0,0.38603125,1,0.4,0.756
0.594,0.29,0.3,0.52332088,0.25,0.0,0.30524265,0,0.8,0.873
0.673,0.72,0.1,0.0,0.5,1.0,0.55990595,0,0.6,0.865
0.61,0.4,0.0,0.0,0.5,0.0,0.31116299999999997,0,1.0,0.69
0.512,0.37,0.1,0.0,0.5,1.0,0.78052515,0,0.8,0.722
0.767,0.2,0.3,0.478857,0.5,1.0,0.7506769,0,0.8,0.535
0.585,0.67,0.5,0.45591588,0.5,1.0,0.46573055,0,1.0,0.58
0.763,0.42,0.6,0.400643,0.25,0.0,0.1673147,1,0.6,0.709
0.712,0.29,0.2,0.0,0.25,1.0,0.721875,0,0.8,0.93
0.539,0.43,0.3,0.464882,0.75,0.0,0.2790198,1,0.8,0.264
0.668,0.46,0.2,0.0,0.75,0.0,0.44524230000000004,1,0.2,0.943
0.703,0.28,0.2,0.32469532,0.5,1.0,0.8140608,0,0.4,0.388
0.662,0.38,0.4,0.0,0.5,0.0,0.68129825,0,1.0,0.248
0.725,0.39,0.5,0.4672152,0.25,0.0,0.62026485,0,0.4,0.763
0.703,0.37,0.8,0.42384671999999995,0.5,1.0,0.370794,0,0.2,0.619
0.659,0.67,0.6,0.4696464,0.25,1.0,0.22535544999999998,1,0.4,0.815
0.523,0.34,0.7,0.0,0.5,0.0,0.3101503,0,0.8,0.566
0.635,0.4,1.0,0.49399032,0.25,0.0,0.65976615,1,1.0,0.774
0.772,0.26,0.7,0.6096020400000001,0.5,0.0,0.39707,0,0.2,0.695
0.545,0.26,0.1,0.0,0.5,1.0,0.9981928,0,1.0,0.902
0.634,0.24,0.8,0.4123914,0.25,1.0,0.78788645,0,0.4,0.532
0.739,0.54,0.8,0.50567256,0.25,0.0,0.67210375,1,0.4,0.718
0.771,0.36,0.5,0.3113876,0.25,0.0,0.49902995,0,1.0,0.895
0.587,0.34,0.1,0.0,0.5,1.0,0.48966339999999997,0,0.8,0.749
0.681,0.79,0.0,0.0,0.5,1.0,0.8548449499999999,0,1.0,0.333
0.544,0.37,0.2,0.31892764,0.25,1.0,0.28779475,0,0.8,0.866
0.696,0.28,0.8,0.0,0.25,0.0,0.88356735,0,0.6,0.671
0.766,0.41,0.0,0.0,0.5,1.0,0.17141615000000002,0,0.8,0.67
0.727,0.34,1.0,0.0,0.5,1.0,0.9931867,0,0.8,0.768
0.671,0.34,0.6,0.14906667999999998,0.5,0.0,0.7845856,0,0.6,0.565
0.693,0.3,0.6,0.511969,0.25,1.0,0.252286,0,0.2,0.483
0.85,0.38,0.3,0.21960404,0.25,1.0,0.7003777499999999,0,0.4,0.926
0.732,0.42,0.9,0.43499232,0.5,1.0,0.32661555,0,0.2,0.932
0.726,0.48,0.6,0.39962476,0.25,0.0,0.32161619999999996,0,0.8,0.901
0.557,0.32,0.6,0.73874564,0.5,0.0,0.07478220000000001,0,0.6,0.299
0.682,0.26,0.0,0.44261608,0.25,1.0,0.55939605,0,0.4,0.899
0.738,0.31,0.9,0.3160792,0.25,1.0,0.09303114999999999,0,0.8,0.467
0.531,0.36,0.9,0.39696203999999996,0.25,0.0,0.61568505,0,0.2,0.717
0.498,0.34,0.2,0.0,0.5,1.0,0.7426412,0,0.2,0.549
0.651,0.36,0.7,0.0,0.5,0.0,0.06949155,0,0.2,0.545
0.549,0.39,0.7,0.0,0.25,0.0,0.40629625,1,0.4,0.716
0.791,0.35,0.7,0.20974479999999998,0.25,0.0,0.80525875,0,0.4,0.65
0.65,0.41,0.9,0.0,0.5,1.0,0.9579983500000001,0,0.8,0.693
0.733,0.34,0.3,0.40135184,0.75,0.0,0.24279595,1,0.8,0.759
0.811,0.34,0.1,0.59718876,0.5,1.0,0.9316987,0,0.4,0.946
0.707,0.3,0.8,0.0,0.5,0.0,0.16579685000000002,0,1.0,0.402
0.712,0.28,0.4,0.58242176,0.25,1.0,0.46941765,0,0.6,0.465
0.706,0.37,0.7,0.0,0.5,1.0,0.5544965000000001,0,0.2,0.799
0.756,0.62,0.3,0.0,0.25,1.0,0.0559952,1,0.6,0.6
0.777,0.53,1.0,0.0,0.5,0.0,0.94996485,0,0.4,0.306
0.646,0.35,0.6,0.33610744,0.25,1.0,0.82127845,0,0.6,0.635
0.714,0.46,0.1,0.0,0.25,0.0,0.76083895,1,0.4,0.747
0.782,0.39,0.8,0.0,0.5,1.0,0.16974835,0,0.6,0.424
0.775,0.29,1.0,0.0,0.5,1.0,0.34071965,0,0.4,0.913
0.479,0.35,0.4,0.5548756800000001,0.25,1.0,0.23625895,1,0.2,0.751
0.807,0.42,0.7,0.47309884,0.25,1.0,0.1294286,0,0.6,0.899
0.799,0.22,0.8,0.6967439200000001,0.5,1.0,0.96316925,0,0.6,0.219
0.675,0.4,0.7,0.45283544,0.5,0.0,0.1728868,0,0.6,0.587
0.602,0.29,0.5,0.41562912,0.25,0.0,0.8061492,0,0.4,0.861
0.475,0.32,0.8,0.47609312,0.25,0.0,0.5040814499999999,0,0.2,0.278
0.744,0.26,0.5,0.66519156,0.25,1.0,0.9084722000000001,0,0.2,0.526
0.588,0.34,1.0,0.0,0.5,0.0,0.39539455,0,0.4,0.632
0.703,0.42,0.9,0.252908,0.25,1.0,0.6865816,0,0.6,0.301
0.747,0.41,0.5,0.37808468,0.5,0.0,0.9746343,0,0.2,0.806
0.583,0.27,0.7,0.0,0.5,0.0,0.25642745,0,0.2,0.25
0.75,0.34,0.9,0.45128904,0.25,0.0,0.75200765,1,0.4,0.563
0.681,0.38,0.3,0.0,0.5,1.0,0.5624598000000001,0,0.2,0.861
0.773,0.25,0.2,0.54361332,0.25,0.0,0.36828190000000005,0,0.8,0.79
0.714,0.31,0.4,0.50067704,0.25,1.0,0.53318445,0,0.6,0.669
0.687,0.44,0.7,0.0,0.75,0.0,0.7792676,1,0.4,0.336
0.511,0.58,0.0,0.59646924,0.25,1.0,0.8129975500000001,0,0.2,0.517
0.627,0.33,0.5,0.0,0.5,1.0,0.5186891,0,0.8,0.499
0.694,0.31,1.0,0.0,0.5,0.0,0.80495135,0,0.6,0.673
0.616,0.36,0.6,0.52924684,0.25,0.0,0.0773142,0,0.4,0.268
0.687,0.35,0.8,0.0,0.5,0.0,0.051670249999999994,0,1.0,0.809
0.712,0.33,0.6,0.0,0.5,1.0,0.9534308,0,1.0,0.46
0.553,0.33,0.4,0.47233156,0.25,0.0,0.47220225,0,0.8,0.221
0.667,0.31,0.1,0.47706676000000003,0.25,1.0,0.14128815,0,0.4,0.73
0.731,0.43,0.2,0.0,0.25,1.0,0.8501747500000001,1,0.4,0.777
0.629,0.35,0.7,0.62738916,0.5,0.0,0.15912145,0,0.8,0.837
0.614,0.5,0.4,0.54841788,0.25,0.0,0.63583245,1,0.2,0.958
0.438,0.31,0.8,0.31359476000000003,0.25,0.0,0.22468505,0,0.8,0.809
0.652,0.8,0.4,0.0,0.5,1.0,0.94301535,0,0.2,0.662
0.729,0.3,0.6,0.25467768,0.25,0.0,0.72555685,0,0.4,0.484
0.642,0.38,0.3,0.0,0.5,0.0,0.8573191499999999,0,0.4,0.737
0.806,0.59,0.0,0.54118532,0.25,0.0,0.9141125,0,0.2,0.486
0.744,0.36,0.2,0.6152177600000001,0.25,1.0,0.43606665,0,0.6,0.252
0.474,0.37,0.3,0.0,0.5,0.0,0.2858766,0,0.8,0.275
0.559,0.49,0.2,0.58827912,0.25,0.0,0.60270415,1,0.2,0.245
0.706,0.42,0.9,0.0,0.5,1.0,0.1435717,0,0.8,0.361
0.628,0.22,0.3,0.0,0.25,0.0,0.4271314,0,0.8,0.483
0.429,0.24,0.4,0.382967,0.25,0.0,0.23085375,0,0.4,0.352
0.525,0.57,0.2,0.5838613199999999,0.25,1.0,0.3222418,0,1.0,0.337
0.68,0.3,0.8,0.565767,0.25,1.0,0.08139484999999999,0,0.2,0.597
0.749,0.4,0.1,0.55716164,0.25,0.0,0.9142771000000001,1,0.2,0.381
0.763,0.31,0.4,0.0,0.5,0.0,0.2520236,0,0.6,0.668
0.734,0.3,0.3,0.0,0.5,0.0,0.53820125,0,0.8,0.245
0.716,0.35,0.4,0.57771548,0.25,0.0,0.6706632499999999,0,0.4,0.495
0.594,0.35,0.2,0.0,0.5,0.0,0.51740345,0,0.8,0.378
0.644,0.46,0.9,0.38176508000000003,0.25,0.0,0.54380525,1,0.2,0.568
